episode_reward,epoch,step,train_loss
-44.0,0,49,
-37.0,0,99,4.498176574707031
-24.0,0,149,2.892324447631836
-10.0,0,199,1.752321720123291
-35.0,0,249,1.5955919027328491
-15.0,0,299,3.6227614879608154
-14.0,0,349,0.5283048152923584
2.0,0,399,1.3749701976776123
-46.0,0,449,1.9820669889450073
-26.0,0,499,0.43685027956962585
-14.0,0,549,1.6111631393432617
-3.0,0,599,0.7210710048675537
-27.0,0,649,1.3951311111450195
-43.0,0,699,1.2709211111068726
-15.0,0,749,1.9505692720413208
-34.0,0,799,1.3466100692749023
-50.0,0,849,1.3380303382873535
6.0,0,899,0.6171256899833679
-16.0,0,949,2.090345859527588
-11.0,0,999,1.3686590194702148
-3.0,0,1049,1.4003832340240479
-19.0,0,1099,2.2508862018585205
-36.0,0,1149,1.3462404012680054
-24.0,0,1199,0.5496711134910583
4.0,0,1249,0.9190447926521301
5.0,0,1299,0.6334907412528992
5.0,0,1349,1.2787706851959229
-10.0,0,1399,0.941757321357727
-9.0,0,1449,0.9908663034439087
-20.0,0,1499,1.3111858367919922
-10.0,0,1549,0.489285945892334
-22.0,0,1599,0.5155538320541382
8.0,0,1649,0.8792916536331177
-50.0,0,1699,1.3182986974716187
-14.0,0,1749,0.3207620680332184
-11.0,0,1799,0.27235013246536255
-6.0,0,1849,1.0894622802734375
-29.0,0,1899,1.0501205921173096
-10.0,0,1949,0.5688603520393372
-10.0,0,1999,0.591544508934021
-21.0,0,2049,1.0693137645721436
-15.0,0,2099,0.8927543759346008
-50.0,0,2149,1.009175181388855
-12.0,0,2199,1.307765007019043
5.0,0,2249,1.253788709640503
-10.0,0,2299,0.9770295023918152
-1.0,0,2349,1.4317444562911987
8.0,0,2399,0.4125854969024658
-50.0,0,2449,1.133098840713501
-10.0,0,2499,0.8593194484710693
-11.0,0,2549,0.7564080953598022
-28.0,0,2599,0.6515694260597229
6.0,0,2649,1.4376418590545654
-50.0,0,2699,1.5654969215393066
-26.0,0,2749,0.5090107917785645
-11.0,0,2799,1.7465150356292725
-25.0,0,2849,0.4966091811656952
-10.0,0,2899,0.6986554861068726
-50.0,0,2949,0.5646321773529053
-10.0,0,2999,0.5330361127853394
-25.0,0,3049,0.5639997124671936
1.0,0,3099,4.044886589050293
-10.0,0,3149,0.6645762920379639
9.0,0,3199,0.4229188561439514
-8.0,0,3249,0.5758379697799683
-14.0,0,3299,4.82543420791626
-7.0,0,3349,0.8628103137016296
8.0,0,3399,1.8622474670410156
5.0,0,3449,1.345177173614502
-11.0,0,3499,1.4630731344223022
-14.0,0,3549,1.1304874420166016
-50.0,0,3599,0.8153949975967407
-10.0,0,3649,1.0296695232391357
6.0,0,3699,0.7302619814872742
7.0,0,3749,3.277522563934326
-17.0,0,3799,1.3161466121673584
1.0,0,3849,0.6688408255577087
10.0,0,3899,1.2000478506088257
8.0,0,3949,0.4466465711593628
9.0,0,3999,0.5513144731521606
8.0,0,4049,0.804949164390564
-15.0,0,4099,0.4497138559818268
-21.0,0,4149,0.9790728688240051
-14.0,0,4199,0.42122119665145874
-50.0,0,4249,0.4354649782180786
2.0,0,4299,0.5757595300674438
8.0,0,4349,1.5264114141464233
2.0,0,4399,0.4608466327190399
9.0,0,4449,1.314518928527832
3.0,0,4499,0.4662942886352539
-11.0,0,4549,0.6389859318733215
10.0,0,4599,0.7975410223007202
-4.0,0,4649,1.8461852073669434
9.0,0,4699,1.1468477249145508
-10.0,0,4749,0.5206083655357361
-17.0,0,4799,0.9469245672225952
-19.0,0,4849,0.6949669122695923
7.0,0,4899,0.9755258560180664
-50.0,0,4949,1.5647016763687134
-19.0,0,4999,2.1867079734802246
10.0,0,5049,0.4429803490638733
2.0,0,5099,0.4491753876209259
10.0,0,5149,2.8263957500457764
9.0,0,5199,0.5519516468048096
-46.0,0,5249,0.6538626551628113
5.0,0,5299,0.4976436495780945
9.0,0,5349,0.9882903099060059
8.0,0,5399,1.6578905582427979
-51.0,0,5449,0.46625038981437683
10.0,0,5499,0.6574491262435913
-20.0,0,5549,0.8935835361480713
9.0,0,5599,0.6595315933227539
6.0,0,5649,0.5393716096878052
-7.0,0,5699,0.7006410956382751
-11.0,0,5749,0.9804244041442871
9.0,0,5799,0.6765515804290771
-50.0,0,5849,1.1624058485031128
-14.0,0,5899,0.5752242803573608
4.0,0,5949,1.1995911598205566
1.0,0,5999,3.0355052947998047
-33.0,0,6049,0.904714047908783
8.0,0,6099,1.1350276470184326
-9.0,0,6149,0.8118891716003418
9.0,0,6199,2.222748279571533
-7.0,0,6249,0.5853080749511719
8.0,0,6299,1.7351347208023071
-29.0,0,6349,2.8485326766967773
1.0,0,6399,1.1925990581512451
-24.0,0,6449,0.8287886381149292
10.0,0,6499,1.3022971153259277
-50.0,0,6549,0.9530370235443115
0.0,0,6599,0.9003269076347351
8.0,0,6649,0.8070648312568665
6.0,0,6699,0.8716138601303101
7.0,0,6749,0.7671419978141785
-50.0,0,6799,0.8536624908447266
4.0,0,6849,0.7882158756256104
0.0,0,6899,1.1180654764175415
1.0,0,6949,0.9550917744636536
7.0,0,6999,1.2844350337982178
6.0,0,7049,1.2202255725860596
-15.0,0,7099,1.0739213228225708
-14.0,0,7149,0.5600399374961853
-17.0,0,7199,0.6794590353965759
4.0,0,7249,1.8718159198760986
5.0,0,7299,0.8237524032592773
-50.0,0,7349,0.8152810335159302
5.0,0,7399,0.7490329742431641
-24.0,0,7449,0.7563105225563049
-10.0,0,7499,0.6352598071098328
-6.0,0,7549,1.8049850463867188
7.0,0,7599,0.5545986890792847
-35.0,0,7649,1.0581103563308716
-1.0,0,7699,1.488276481628418
-6.0,0,7749,0.8028600215911865
-50.0,0,7799,0.6222742199897766
-3.0,0,7849,1.101324439048767
-50.0,0,7899,0.7244298458099365
7.0,0,7949,1.0582480430603027
3.0,0,7999,0.9130650758743286
-6.0,0,8049,0.9705516695976257
-50.0,0,8099,0.9138896465301514
-50.0,0,8149,6.790840148925781
-50.0,0,8199,0.907447338104248
9.0,0,8249,0.8621839880943298
3.0,0,8299,2.8213729858398438
8.0,0,8349,0.7277588248252869
-10.0,0,8399,0.851790189743042
-39.0,0,8449,2.061795711517334
-16.0,0,8499,0.6562460660934448
-3.0,0,8549,0.6557663679122925
-12.0,0,8599,2.4491333961486816
-50.0,0,8649,0.9301546216011047
-24.0,0,8699,0.6932927370071411
6.0,0,8749,1.1396329402923584
8.0,0,8799,0.8664599657058716
-13.0,0,8849,0.5638517141342163
6.0,0,8899,4.391254425048828
-18.0,0,8949,1.6972782611846924
10.0,0,8999,1.3726465702056885
-50.0,0,9049,0.52973473072052
-1.0,0,9099,0.8655089139938354
-25.0,0,9149,0.6575324535369873
-12.0,0,9199,0.836782693862915
6.0,0,9249,1.141371488571167
-2.0,0,9299,2.7422609329223633
4.0,0,9349,0.4963012933731079
-52.0,0,9399,0.38240084052085876
0.0,0,9449,1.0109511613845825
-38.0,0,9499,1.718026876449585
-50.0,0,9549,1.1326855421066284
-4.0,0,9599,0.6113040447235107
10.0,0,9649,0.7912704348564148
-50.0,0,9699,0.92364501953125
4.0,0,9749,0.6174455881118774
2.0,0,9799,1.852419376373291
-7.0,0,9849,0.6784468293190002
9.0,0,9899,1.4347079992294312
3.0,0,9949,0.5551129579544067
-50.0,0,9999,0.46353381872177124
-50.0,0,10049,0.9294894337654114
-30.0,0,10099,1.3648046255111694
-10.0,0,10149,0.9192786812782288
-12.0,0,10199,0.8845752477645874
-26.0,0,10249,3.584822177886963
10.0,0,10299,1.1770519018173218
7.0,0,10349,0.6378374099731445
-50.0,0,10399,0.6367383003234863
9.0,0,10449,0.48097914457321167
-15.0,0,10499,0.8914036750793457
-50.0,0,10549,1.5544607639312744
-30.0,0,10599,1.7473633289337158
5.0,0,10649,0.9996588826179504
-11.0,0,10699,1.901993751525879
-10.0,0,10749,0.9598342180252075
6.0,0,10799,0.6158292293548584
5.0,0,10849,1.3240500688552856
-4.0,0,10899,0.8513115048408508
8.0,0,10949,0.5331453680992126
6.0,0,10999,1.3023648262023926
-13.0,0,11049,0.7182027101516724
0.0,0,11099,1.3743003606796265
-50.0,0,11149,1.0406824350357056
-50.0,0,11199,0.8138740062713623
10.0,0,11249,0.7462736368179321
10.0,0,11299,0.7853584289550781
-1.0,0,11349,0.5998667478561401
10.0,0,11399,0.6089122295379639
1.0,0,11449,1.5440014600753784
-33.0,0,11499,1.7407900094985962
5.0,0,11549,0.7447293996810913
6.0,0,11599,0.6889716386795044
-12.0,0,11649,0.7979753017425537
-50.0,0,11699,0.5971231460571289
8.0,0,11749,0.6488509178161621
10.0,0,11799,2.140406608581543
0.0,0,11849,0.7967027425765991
-4.0,0,11899,1.158217430114746
10.0,0,11949,0.5368918776512146
-19.0,0,11999,0.625064492225647
-50.0,0,12049,0.8204623460769653
7.0,0,12099,0.6841458678245544
-4.0,0,12149,0.7452828884124756
-50.0,0,12199,0.8415995836257935
-23.0,0,12249,1.828078269958496
10.0,0,12299,0.5618249773979187
10.0,0,12349,0.9343066215515137
-50.0,0,12399,1.6173956394195557
-14.0,0,12449,0.6807506084442139
-50.0,0,12499,0.5210212469100952
-50.0,0,12549,1.230499029159546
-17.0,0,12599,0.45831242203712463
-17.0,0,12649,1.487594485282898
-50.0,0,12699,0.475229948759079
0.0,0,12749,0.5573420524597168
8.0,0,12799,0.4399575889110565
9.0,0,12849,0.978297233581543
-50.0,0,12899,0.39671581983566284
8.0,0,12949,2.8636655807495117
-50.0,0,12999,0.6068159937858582
-18.0,0,13049,0.41975653171539307
10.0,0,13099,0.5016841888427734
-50.0,0,13149,3.144338607788086
5.0,0,13199,0.9105352163314819
-50.0,0,13249,0.5843988060951233
8.0,0,13299,0.30730754137039185
-10.0,0,13349,0.6273621916770935
-16.0,0,13399,0.3706166446208954
9.0,0,13449,1.1125986576080322
-26.0,0,13499,0.9039196968078613
5.0,0,13549,0.7322348356246948
-50.0,0,13599,0.8408226370811462
-50.0,0,13649,0.6591618061065674
9.0,0,13699,0.34529542922973633
-50.0,0,13749,0.7394530773162842
-13.0,0,13799,0.49313589930534363
-25.0,0,13849,1.2403817176818848
-10.0,0,13899,0.5084163546562195
-35.0,0,13949,0.6372890472412109
-23.0,0,13999,1.070335030555725
-20.0,0,14049,0.5282773971557617
9.0,0,14099,0.43317416310310364
-16.0,0,14149,0.5511295199394226
-22.0,0,14199,4.239555835723877
10.0,0,14249,0.8125302195549011
-50.0,0,14299,1.0650204420089722
5.0,0,14349,0.5942997932434082
6.0,0,14399,0.6990464925765991
4.0,0,14449,0.26850688457489014
9.0,0,14499,0.9414875507354736
-50.0,0,14549,0.29563164710998535
10.0,0,14599,0.8321781158447266
-7.0,0,14649,0.46081477403640747
10.0,0,14699,0.8530206680297852
-10.0,0,14749,1.0045404434204102
-16.0,0,14799,0.5692968368530273
-14.0,0,14849,1.325056552886963
-50.0,0,14899,1.4348764419555664
-50.0,0,14949,1.0744824409484863
